Label,src,interval,buy_ma_period,sell_ma_period,buy_slope,sell_slope,wait_period,hold_period,profit_target_percentage,stop_loss_percentage,Accuracy,total_wins,Total Trades,profit%,data_length
 Optimized,4250.SR,1d,2,5,-15,-15,1,4,1,-5,69.44444444,25,36,52.65839797,206
Highest Accuracy,4250.SR,1d,3,5,5,-15,2,6,5,-5,83.33333333,10,12,36.47427918,206
Highest Profit,4250.SR,1d,2,2,-15,5,1,6,5,-5,62.5,20,32,54.13333152,206
Highest Wins,4250.SR,1d,2,5,-15,-15,1,4,1,-5,69.44444444,25,36,52.65839797,206
Highest Accuracy,2340.SR,1d,2,3,5,-15,2,7,1,-5,94.73684211,18,19,34.08547848,206
Highest Profit,2340.SR,1d,2,2,-15,-15,2,6,5,-5,87.5,14,16,56.57978801,206
Highest Wins,2340.SR,1d,3,2,-15,-15,1,6,1,-5,65,26,40,29.25556514,206
Highest Accuracy,2340.SR,1d,2,3,5,5,2,5,1,-5,94.73684211,18,19,32.54153414,206
Highest Profit,2340.SR,1d,3,6,-15,5,2,6,5,-5,77.77777778,14,18,57.79453562,206
Highest Wins,2340.SR,1d,6,2,-15,-15,1,6,1,-5,62.5,25,40,25.90299291,206
Highest Accuracy,4300.SR,1d,5,2,5,5,2,6,5,-5,84.61538462,11,13,46.96617758,206
Highest Profit,4300.SR,1d,2,3,-15,5,1,9,5,-5,62.06896552,18,29,60.3130038,206
Highest Wins,4300.SR,1d,6,2,-15,5,1,7,1,-5,72.97297297,27,37,33.4614432,206
,,,,,,,,,,,,,,,
Optimized,4300.SR,1d,5,2,5,5,1,7,5,-5,78.94736842,15,19,56.045691,206
,,,,,,,,,,,,,,,
Highest Accuracy,4300.SR,1d,5,2,5,5,2,6,5,-5,84.61538462,11,13,46.96617758,206
,,,,,,,,,,,,,,,
Highest Profit,4300.SR,1d,2,2,-15,5,1,6,5,-5,62.06896552,18,29,61.39006659,206
,,,,,,,,,,,,,,,
Highest Wins,4300.SR,1d,6,2,-15,5,1,3,1,-5,72.97297297,27,37,34.02179517,206
Optimized,4300.SR,1d,4,2,5.0,5.0,1,4,5.0,-5.0,81.81818181818183,18,22,58.41693177521776,206

Highest Accuracy,4300.SR,1d,5,3,5.0,5.0,1,6,5.0,-5.0,88.88888888888889,16,18,54.71866635317273,206

Highest Profit,4300.SR,1d,2,2,-15.0,5.0,1,9,5.0,-5.0,62.06896551724138,18,29,62.571265934006334,206

Highest Wins,4300.SR,1d,6,2,-15.0,5.0,1,6,1.0,-5.0,72.97297297297297,27,37,33.46144319874456,206
