Trade ID,Timestamp,Order Type,Entry Price,Exit Price,Quantity,Profit/Loss %,Holding Period (Candles),Status,Buy EMA Period,Sell EMA Period,Buy Slope,Sell Slope,Wait Period,Hold Period,Profit Target (%),Stop Loss (%),Cumulative Profit/Loss,Total Trades,Winning Trades,src,current_price,prev_candle_price,Counter
,,,,,,,,,,,,,,,,,,,,NEAR-USD,5.437312126159668,5.409444808959961,0.0
2.0,2024-11-14 21:50:52,Buy,5.44596004486084,,100.0,0.0,0.0,Active,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,2.0,0.0,,,,
3.0,2024-11-14 22:10:06,Buy,5.437987327575684,,100.0,0.0,0.0,Active,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,3.0,0.0,,,,
4.0,2024-11-14 22:34:26,Buy,5.48334550857544,,100.0,0.0,0.0,Active,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 09:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 10:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 11:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 12:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 13:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 14:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 15:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 16:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 17:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
,2024-11-14 18:00:00,,,,,,,No Signal,10.0,10.0,2.0,-2.0,3.0,4.0,3.0,-2.0,0.0,4.0,0.0,,,,
